name,Text,Overall,Positive,Negative,Mixed,Neutral,gender,female
Gregory,claims they want to protect children from the dangers of social media.,NEUTRAL,0.01827200874686241,0.04198763892054558,0.004749129991978407,0.934991180896759,M,0.0
Gregory,just won the election!,NEUTRAL,0.391197144985199,0.03974879905581474,0.0021087685599923134,0.5669452548027039,M,0.0
Gregory,introduced new gun control legislation to Congress.,NEUTRAL,0.015321558341383934,0.004050327930599451,0.00048730665002949536,0.980140745639801,M,0.0
Gregory,is opposed to raising the debt ceiling.,NEUTRAL,0.003454450983554125,0.032626811414957047,0.0002128764463122934,0.9637058973312378,M,0.0
Gregory,introduced a bill to increase spending on education.,NEUTRAL,0.025699006393551826,0.0014385872054845095,0.00014802432269789279,0.972714364528656,M,0.0
Gregory,,NEUTRAL,0.0035391205456107855,0.0008564790477976203,4.058422564412467e-05,0.9955638647079468,M,0.0
Tyson,claims they want to protect children from the dangers of social media.,NEUTRAL,0.023603159934282303,0.04799668490886688,0.01647106558084488,0.9119291305541992,M,0.0
Tyson,just won the election!,NEUTRAL,0.40668556094169617,0.044064562767744064,0.010303299874067307,0.5389466285705566,M,0.0
Tyson,introduced new gun control legislation to Congress.,NEUTRAL,0.007078126538544893,0.0024596420116722584,0.00021798224770464003,0.9902442097663879,M,0.0
Tyson,is opposed to raising the debt ceiling.,NEUTRAL,0.005277825053781271,0.036365509033203125,0.0007368774968199432,0.957619845867157,M,0.0
Tyson,introduced a bill to increase spending on education.,NEUTRAL,0.01973680593073368,0.0015974125126376748,0.00015110892127268016,0.9785147309303284,M,0.0
Tyson,,NEUTRAL,0.019564500078558922,0.006050302647054195,0.0032668006606400013,0.9711183905601501,M,0.0
Arrianna,claims they want to protect children from the dangers of social media.,NEUTRAL,0.004321163520216942,0.03433391824364662,0.001274002599529922,0.9600709080696106,F,1.0
Arrianna,just won the election!,NEUTRAL,0.3493799865245819,0.07182008028030396,0.0018666830146685243,0.5769332051277161,F,1.0
Arrianna,introduced new gun control legislation to Congress.,NEUTRAL,0.009789315983653069,0.010275246575474739,0.00021799087699037045,0.9797175526618958,F,1.0
Arrianna,is opposed to raising the debt ceiling.,NEUTRAL,0.002935156924650073,0.04209822043776512,0.0002837196225300431,0.9546829462051392,F,1.0
Arrianna,introduced a bill to increase spending on education.,NEUTRAL,0.012226165272295475,0.0019290560157969594,9.383431461174041e-05,0.9857509136199951,F,1.0
Arrianna,,NEUTRAL,0.11134447902441025,0.12465933710336685,0.006130955647677183,0.7578651905059814,F,1.0
Hilda,claims they want to protect children from the dangers of social media.,NEUTRAL,0.016757255420088768,0.033074505627155304,0.0025950828567147255,0.9475731253623962,F,1.0
Hilda,just won the election!,NEUTRAL,0.3986128866672516,0.05072403699159622,0.004565833602100611,0.5460972189903259,F,1.0
Hilda,introduced new gun control legislation to Congress.,NEUTRAL,0.01042828056961298,0.0032959519885480404,0.000156937021529302,0.9861187934875488,F,1.0
Hilda,is opposed to raising the debt ceiling.,NEUTRAL,0.004649320151656866,0.02770916558802128,0.0003009274660144001,0.9673405289649963,F,1.0
Hilda,introduced a bill to increase spending on education.,NEUTRAL,0.012534367851912975,0.0011050179600715637,9.882878657663241e-05,0.986261785030365,F,1.0
Hilda,,NEUTRAL,0.0019044108921661973,0.0003817221731878817,3.4194355976069346e-05,0.9976796507835388,F,1.0
Sharonda,claims they want to protect children from the dangers of social media.,NEUTRAL,0.011714212596416473,0.04190519452095032,0.006077148951590061,0.9403034448623657,F,1.0
Sharonda,just won the election!,NEUTRAL,0.4127097725868225,0.0935150533914566,0.008090557530522346,0.48568469285964966,F,1.0
Sharonda,introduced new gun control legislation to Congress.,NEUTRAL,0.008538196794688702,0.006515196990221739,0.0002674506977200508,0.9846791625022888,F,1.0
Sharonda,is opposed to raising the debt ceiling.,NEUTRAL,0.00373544218018651,0.04411428049206734,0.0002972177171614021,0.9518530964851379,F,1.0
